mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os02g57240,22.3,2.1,0.13304721030042918,-2.909989834267405
LOC_Os02g57250,26.4,2.0,0.10948905109489052,-3.191141487352008
LOC_Os02g57290,4.4,0.2,0.2222222222222222,-2.1699250014423126
LOC_Os02g57280,12.7,0.8,0.13138686131386862,-2.928107081518214
LOC_Os02g57500,7.4,0.5,0.17857142857142858,-2.4854268271702415
LOC_Os02g57530,10.4,1.0,0.17543859649122806,-2.5109619192773796
LOC_Os02g57540,48.1,3.1,0.0835030549898167,-3.5820272096966095
LOC_Os02g57590,19.1,0.5,0.07462686567164178,-3.7441610955704103
LOC_Os02g57620,21.2,4.1,0.22972972972972971,-2.1219905243786106
LOC_Os02g57630,22.3,2.6,0.15450643776824033,-2.694261143211968
LOC_Os02g57660,38.1,3.1,0.10485933503836316,-3.253472792689269
LOC_Os02g57820,16.2,2.3,0.19186046511627908,-2.3818706353436445
LOC_Os02g57830,8.8,0.7,0.173469387755102,-2.5272470028648693
LOC_Os02g57840,5.7,0.0,0.14925373134328357,-2.7441610955704103
LOC_Os02g57854,12.4,1.6,0.19402985074626866,-2.3656494723166803
